Run,Total_Execution_Time,Best_Fitness,Best_BLOSUM_Score,Best_Interaction_Score,Global_NFE,Parameters
1,12.483114957809448,16.4,3,3,109,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
2,14.428419828414917,16.4,3,3,110,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
3,12.954025030136108,16.4,3,3,113,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
4,14.494434118270874,16.4,3,3,113,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
5,14.18640422821045,16.4,3,3,112,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
6,13.874616146087646,16.4,3,3,110,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
7,14.014748811721802,16.4,3,3,108,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
8,16.042285203933716,16.4,3,3,111,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
9,14.234838962554932,16.4,3,3,112,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
10,15.22561001777649,16.4,3,3,110,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
11,15.713039875030518,16.4,3,3,112,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
12,17.73009991645813,16.4,3,3,111,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
13,13.40955924987793,16.4,3,3,111,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
14,13.576534032821655,16.4,3,3,108,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
15,16.140881061553955,16.4,3,3,112,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
16,15.540786743164062,16.4,3,3,112,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
17,20.25367498397827,16.4,3,3,108,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
18,17.398075103759766,16.4,3,3,114,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
19,17.594768047332764,16.4,3,3,113,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
20,17.977806091308594,16.4,3,3,110,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
21,15.827608108520508,16.4,3,3,109,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
22,15.90812087059021,16.4,3,3,113,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
23,15.665607929229736,16.4,3,3,112,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
24,19.007343292236328,16.4,3,3,112,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
25,20.909552335739136,16.4,3,3,111,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
26,18.308339834213257,16.4,3,3,112,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
