Run,Total_Execution_Time,Best_Fitness,Best_BLOSUM_Score,Best_Interaction_Score,Global_NFE,Parameters
1,14.618941068649292,16.4,3,3,108,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
2,15.059245824813843,16.4,3,3,110,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
3,14.288364887237549,16.4,3,3,110,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
4,13.707678079605103,16.4,3,3,112,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
5,14.100435972213745,16.4,3,3,109,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
6,14.30406928062439,16.4,3,3,105,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
7,16.86132287979126,16.4,3,3,111,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
8,18.454325914382935,16.4,3,3,113,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
9,13.003552198410034,16.4,3,3,111,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
10,15.734746217727661,16.4,3,3,112,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
11,13.654004335403442,16.4,3,3,108,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
12,15.069486856460571,16.4,3,3,113,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
13,15.263022184371948,16.4,3,3,109,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
14,17.144784927368164,16.4,3,3,113,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
15,14.14766001701355,16.4,3,3,111,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
16,14.651748180389404,16.4,3,3,114,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
17,17.15648889541626,16.4,3,3,112,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
18,18.731567859649658,16.4,3,3,109,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
19,17.83983612060547,16.4,3,3,113,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
20,15.487375020980835,16.4,3,3,112,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
21,16.671631813049316,16.4,3,3,113,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
22,14.918989658355713,16.4,3,3,109,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
23,16.72007918357849,16.4,3,3,110,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
24,17.01208996772766,16.4,3,3,110,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
25,17.95571494102478,16.4,3,3,111,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
26,19.723011016845703,16.4,3,3,112,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
27,19.329435110092163,16.4,3,3,110,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
28,17.748028993606567,16.4175860241321,3,3,109,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
29,16.700764894485474,16.4,3,3,112,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
30,20.315568923950195,16.4,3,3,114,"{'numeroDeBacterias': 4, 'iteraciones': 3, 'tumbo': 2, 'dAttr': 0.1, 'wAttr': 0.002, 'hRep': 0.1, 'wRep': 0.001}"
